"TMS ID","Carrier Name","Charge Rate","Rate Basis","Rate","Closed Date","Load Group","Charge Description","Carrier Reference","Rate Change Approval Date","Shipment Reference Number","Rate Change Request Date"
58794448,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","04/01/2022 11:48","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","04/01/2022 12:56","40540010","30/12/2021 09:06"
58794523,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","10/01/2022 11:22","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","SUB/21/12/0127","30/12/2021 11:46"
58794523,"BAHANA PRESTASI","0.00","FLAT","0.00","10/01/2022 11:22","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","SUB/21/12/0127","30/12/2021 11:46"
58794524,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","03/01/2022 11:01","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","03/01/2022 13:04","SUB/21/12/0121","31/12/2021 12:51"
58794526,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","03/01/2022 11:01","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","03/01/2022 13:04","SUB/21/12/0123","31/12/2021 12:57"
58794527,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","03/01/2022 11:01","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","03/01/2022 13:04","SUB/21/12/0131","31/12/2021 13:03"
58794535,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","04/01/2022 14:44","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","04/01/2022 15:02","PO.SRP21000012","30/12/2021 12:15"
58794538,"BAHANA PRESTASI","210,000.00","FLAT","210,000.00","03/01/2022 09:43","SURABAYA LOG BULK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","03/01/2022 13:04","0082538575","03/01/2022 08:54"
58794538,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","03/01/2022 09:43","SURABAYA LOG BULK","TMB_BONGKAR","0027","03/01/2022 13:04","0082538575","03/01/2022 08:54"
58794542,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","03/01/2022 09:43","SURABAYA LOG BULK","TMB_BONGKAR","0027","03/01/2022 13:04","0082538631","03/01/2022 08:55"
58794542,"BAHANA PRESTASI","210,000.00","FLAT","210,000.00","03/01/2022 09:43","SURABAYA LOG BULK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","03/01/2022 13:04","0082538631","03/01/2022 08:55"
58794546,"BAHANA PRESTASI","60,300.00","FLAT","60,300.00","07/01/2022 10:26","SURABAYA LOG PACK","TMB_BONGKAR","0027","09/01/2022 21:32","3000874477","31/12/2021 10:44"
58794546,"BAHANA PRESTASI","431,100.00","FLAT","431,100.00","07/01/2022 10:26","SURABAYA LOG PACK","TMB_BONGKAR","0027","09/01/2022 21:32","3000874477","31/12/2021 10:44"
58794582,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","12/01/2022 17:07","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","12/01/2022 17:34","40531889","31/12/2021 07:36"
