Lean ID;Current Requested Charge Amount;Charge Requested
58688344;35000;TMB_BONGKAR
58571177;37000;TMB_KOMISI SUPIR
58845220;39200;TMB_BONGKAR
58696086;40000;TMB_BONGKAR
58698344;40000;TMB_PARKIR
58787625;40000;TMB_KOMISI SUPIR
58842559;40000;TMB_KOMISI SUPIR
58860216;40000;TMB_KOMISI SUPIR
58608725;41600;UNBILLED BONGKAR
58698349;42000;UNBILLED BONGKAR
58655956;43000;TMB_KOMISI SUPIR
58640215;45000;TMB_KOMISI SUPIR
58747863;45000;TMB_BONGKAR
58548580;50000;TMB_KOMISI SUPIR
58549188;50000;TMB_KOMISI SUPIR
58556260;50000;TMB_KOMISI SUPIR
58556269;50000;TMB_BONGKAR
58556269;50000;TMB_KOMISI SUPIR
58558532;50000;TMB_KOMISI SUPIR
58571180;50000;TMB_KOMISI SUPIR
58592909;50000;TMB_KOMISI SUPIR
58594076;50000;TMB_KOMISI SUPIR
58595798;50000;TMB_KOMISI SUPIR
58632359;50000;TMB_KOMISI SUPIR
58633758;50000;TMB_KOMISI SUPIR
58635656;50000;TMB_KOMISI SUPIR
58654251;50000;TMB_KOMISI SUPIR
58655654;50000;UNBILLED BONGKAR
58670367;50000;TMB_KOMISI SUPIR
58708015;50000;TMB_KOMISI SUPIR
58710236;50000;TMB_KOMISI SUPIR
58718280;50000;TMB_TOLL
58765600;50000;TMB_BONGKAR
58773295;50000;TMB_TOLL
58775663;50000;TMB_BONGKAR
58775663;50000;TMB_TOLL
58809789;50000;TMB_BONGKAR
58810221;50000;TMB_BONGKAR
58817836;50000;TMB_KOMISI SUPIR
58821380;50000;TMB_KOMISI SUPIR
58845307;50000;TMB_KOMISI SUPIR
58852114;50000;TMB_KOMISI SUPIR
58853163;50000;TMB_KOMISI SUPIR
58853253;50000;TMB_KOMISI SUPIR
58854887;50000;TMB_BONGKAR
58855034;50000;TMB_BONGKAR
58860209;50000;TMB_KOMISI SUPIR
58878748;50000;TMB_BONGKAR
58670367;54000;TMB_TOLL
58704860;54000;TMB_TOLL
58698349;54600;UNBILLED BONGKAR
58817836;55000;TMB_KOMISI SUPIR
58655418;55500;TMB_KOMISI SUPIR
58875228;56000;TMB_TOLL
58608725;57500;UNBILLED BONGKAR
58544621;60000;TMB_PARKIR
58762555;60000;TMB_TOLL
58768092;60000;TMB_KOMISI SUPIR
58775978;60000;TMB_BONGKAR
58854096;60000;TMB_PARKIR
58794546;60300;TMB_BONGKAR
58572979;64000;TMB_TOLL
58788406;64000;TMB_TOLL
58863180;64000;TMB_TOLL
58593884;65000;TMB_KOMISI SUPIR
58708395;65000;TMB_KOMISI SUPIR
58761018;65000;TMB_KOMISI SUPIR
58860210;65000;TMB_KOMISI SUPIR
58704860;66000;TMB_TOLL
58632359;69800;TMB_KOMISI SUPIR
58610881;70000;TMB_KOMISI SUPIR
58644079;70000;TMB_KOMISI SUPIR
58695027;70000;TMB_KOMISI SUPIR
58717598;70000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58717612;70000;TMB_KOMISI SUPIR
58718281;70000;TMB_PARKIR
58745347;70000;TMB_KOMISI SUPIR
58765598;70000;TMB_BONGKAR
58772189;70000;TMB_KOMISI SUPIR
58772302;70000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58788229;70000;TMB_KOMISI SUPIR
58852082;70000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58876439;70000;TMB_KOMISI SUPIR
58772188;74900;UNBILLED BONGKAR
58610571;75000;TMB_BONGKAR
58610581;75000;TMB_BONGKAR
58632366;75000;TMB_KOMISI SUPIR
58578695;76500;TMB_TOLL
58789144;78000;TMB_KOMISI SUPIR
58718283;80000;TMB_PARKIR
58775707;80000;TMB_KOMISI SUPIR
58845280;80000;TMB_KOMISI SUPIR
58875298;80000;TMB_KOMISI SUPIR
58876534;80000;TMB_KOMISI SUPIR
58878869;80000;TMB_BONGKAR
58589470;81000;TMB_TOLL
58616511;81000;TMB_KOMISI SUPIR
58751053;82000;UNBILLED BONGKAR
58640367;82200;TMB_KOMISI SUPIR
58789719;85000;TMB_KOMISI SUPIR
58558532;86000;TMB_KOMISI SUPIR
58708171;87500;UNBILLED BONGKAR
58571164;88500;TMB_TOLL
58571178;88500;TMB_TOLL
58571180;88500;TMB_TOLL
58618031;88500;TMB_TOLL
58640749;88500;TMB_TOLL
58670367;88500;TMB_TOLL
58704741;88500;TMB_TOLL
58670247;90000;TMB_KOMISI SUPIR
58762618;90000;TMB_PARKIR
58773142;90000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58801951;90000;UNBILLED BONGKAR
58608791;91000;UNBILLED BONGKAR
58751053;93000;UNBILLED BONGKAR
58851155;93500;TMB_TOLL
58610600;94000;TMB_TOLL
58655681;94000;TMB_TOLL
58691884;94000;TMB_TOLL
58720257;94000;TMB_TOLL
58740524;94000;TMB_TOLL
58776016;95000;TMB_RAPIDTEST
58573224;99000;TMB_TOLL
58593876;99000;TMB_TOLL
58610848;99000;TMB_TOLL
58491543;100000;TMB_BONGKAR
58491543;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58491543;100000;TMB_BONGKAR
58491543;100000;TMB_BONGKAR
58491543;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58491543;100000;TMB_BONGKAR
58534074;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58539729;100000;TMB_TOLL
58539729;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58539729;100000;TMB_BONGKAR
58544621;100000;TMB_MULTIDROP
58548580;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58550832;100000;TMB_BONGKAR
58550832;100000;TMB_TOLL
58553721;100000;TMB_RAPIDTEST
58553721;100000;TMB_KOMISI SUPIR
58553721;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58553778;100000;TMB_RAPIDTEST
58553778;100000;TMB_KOMISI SUPIR
58558506;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58558508;100000;TMB_BONGKAR
58558532;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58562471;100000;TMB_TOLL
58562471;100000;TMB_KOMISI SUPIR
58568934;100000;TMB_TOLL
58568967;100000;TMB_TOLL
58569911;100000;TMB_BONGKAR
58569912;100000;TMB_BONGKAR
58571164;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58571177;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58572979;100000;TMB_RAPIDTEST
58572979;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58573224;100000;TMB_RAPIDTEST
58573224;100000;TMB_KOMISI SUPIR
58573289;100000;TMB_KOMISI SUPIR
58573289;100000;TMB_KOMISI SUPIR
58573504;100000;TMB_TOLL
58573504;100000;TMB_KOMISI SUPIR
58573767;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58578680;100000;TMB_KOMISI SUPIR
58578681;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58578682;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58578850;100000;TMB_TOLL
58579754;100000;TMB_BONGKAR
58581306;100000;TMB_MULTIDROP
58581306;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58583394;100000;TMB_KOMISI SUPIR
58583419;100000;TMB_TOLL
58583611;100000;TMB_TOLL
58584775;100000;TMB_RAPIDTEST
58584775;100000;TMB_KOMISI SUPIR
58584775;100000;TMB_TOLL
58584791;100000;TMB_RAPIDTEST
58584791;100000;TMB_KOMISI SUPIR
