"TMS ID","Carrier Name","Charge Rate","Rate Basis","Rate","Closed Date","Load Group","Charge Description","Carrier Reference","Rate Change Approval Date","Shipment Reference Number","Rate Change Request Date"
58845280,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","10/01/2022 16:33","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:55","40541041","07/01/2022 10:19"
58845282,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","10/01/2022 11:41","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:55","SUB/22/01/0023","07/01/2022 12:36"
58845307,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","10/01/2022 16:09","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:55","40540755","07/01/2022 10:18"
58845497,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","10/01/2022 12:37","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:55","SUB/22/01/0022","07/01/2022 12:29"
58851100,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","10/01/2022 09:15","SURABAYA LOG BULK","TMB_BONGKAR","0027","11/01/2022 07:55","0082546561","10/01/2022 08:42"
58851101,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","10/01/2022 09:15","SURABAYA LOG BULK","TMB_BONGKAR","0027","11/01/2022 07:55","0082546599","10/01/2022 08:43"
58851155,"BAHANA PRESTASI","250,000.00","FLAT","250,000.00","11/01/2022 15:51","SURABAYA LOG PACK","TMB_BONGKAR","0027","12/01/2022 11:01","TRANS/0122/MJO/0000069","07/01/2022 18:39"
58852082,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","10/01/2022 10:22","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:55","2100418614","10/01/2022 10:04"
58852174,"BAHANA PRESTASI","20,000.00","FLAT","20,000.00","07/01/2022 17:23","SURABAYA LOG PACK","TMB_BONGKAR","0027","09/01/2022 21:34","2100419049,2100419016,2100419052,2100419051","07/01/2022 17:15"
58852982,"BAHANA PRESTASI","23,000.00","FLAT","23,000.00","10/01/2022 16:41","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:55","1000367901","10/01/2022 16:48"
58852982,"BAHANA PRESTASI","600.00","FLAT","600.00","10/01/2022 16:41","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:02","1000367901","12/01/2022 10:28"
58852985,"BAHANA PRESTASI","66,000.00","FLAT","66,000.00","10/01/2022 16:41","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:55","1000367925","10/01/2022 16:47"
58852988,"BAHANA PRESTASI","22,400.00","FLAT","22,400.00","10/01/2022 17:37","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:55","1000368038","10/01/2022 17:50"
58852997,"BAHANA PRESTASI","42,000.00","FLAT","42,000.00","10/01/2022 17:37","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:56","1000368041","10/01/2022 17:45"
58853001,"BAHANA PRESTASI","21,000.00","FLAT","21,000.00","10/01/2022 17:37","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:56","1000368042","10/01/2022 17:47"
58853003,"BAHANA PRESTASI","132,600.00","FLAT","132,600.00","10/01/2022 17:37","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:56","1000368048","10/01/2022 17:43"
58853010,"BAHANA PRESTASI","36,000.00","FLAT","36,000.00","10/01/2022 17:37","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:56","1000368052","10/01/2022 17:44"
58853014,"BAHANA PRESTASI","92,000.00","FLAT","92,000.00","10/01/2022 17:37","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:56","1000368064","10/01/2022 17:48"
58853022,"BAHANA PRESTASI","147,000.00","FLAT","147,000.00","10/01/2022 17:37","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:56","1000368147","10/01/2022 17:41"
58853031,"BAHANA PRESTASI","48,000.00","FLAT","48,000.00","11/01/2022 14:27","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:02","1000368317,1000368322","11/01/2022 14:40"
58853031,"BAHANA PRESTASI","25,000.00","FLAT","25,000.00","11/01/2022 14:27","SURABAYA RENTAL TRIP","TMB_MULTIDROP","0027","12/01/2022 11:02","1000368317,1000368322","11/01/2022 14:40"
58853031,"BAHANA PRESTASI","16,500.00","FLAT","16,500.00","11/01/2022 14:27","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:02","1000368317,1000368322","11/01/2022 14:40"
58853033,"BAHANA PRESTASI","181,500.00","FLAT","181,500.00","11/01/2022 14:27","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:02","1000368307","11/01/2022 14:39"
58853035,"BAHANA PRESTASI","126,700.00","FLAT","126,700.00","11/01/2022 14:27","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:02","1000368309","11/01/2022 14:33"
58853058,"BAHANA PRESTASI","57,000.00","FLAT","57,000.00","11/01/2022 14:27","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:02","1000368319","11/01/2022 14:36"
58853065,"BAHANA PRESTASI","118,500.00","FLAT","118,500.00","11/01/2022 14:27","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:02","1000368329","11/01/2022 14:38"
58853078,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","10/01/2022 11:43","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:56","1000368914,1000369012","07/01/2022 18:45"
58853078,"BAHANA PRESTASI","25,000.00","FLAT","25,000.00","10/01/2022 11:43","SURABAYA RENTAL TRIP","TMB_MULTIDROP","0027","11/01/2022 07:56","1000368914,1000369012","07/01/2022 18:45"
58853093,"BAHANA PRESTASI","13,500.00","FLAT","13,500.00","10/01/2022 11:43","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:56","1000368924","07/01/2022 18:45"
58853098,"BAHANA PRESTASI","306,400.00","FLAT","306,400.00","10/01/2022 11:43","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:56","1000368927","07/01/2022 18:50"
58853113,"BAHANA PRESTASI","354,500.00","FLAT","354,500.00","10/01/2022 11:43","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:56","1000369011","07/01/2022 18:49"
58853115,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","12/01/2022 15:03","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","12/01/2022 15:56","40542817","07/01/2022 18:28"
58853116,"BAHANA PRESTASI","100,800.00","FLAT","100,800.00","10/01/2022 11:43","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:56","1000368963","07/01/2022 18:48"
58853122,"BAHANA PRESTASI","355,000.00","FLAT","355,000.00","10/01/2022 11:43","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","11/01/2022 07:56","1000368937","07/01/2022 18:44"
58853163,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","12/01/2022 16:19","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","12/01/2022 17:34","40543587","07/01/2022 18:30"
58853163,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","12/01/2022 16:19","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","12/01/2022 17:34","40543587","07/01/2022 18:30"
58853163,"BAHANA PRESTASI","780,000.00","FLAT","780,000.00","12/01/2022 16:19","SURABAYA LOG PACK","TMB_BONGKAR","0027","12/01/2022 17:34","40543587","07/01/2022 18:30"
58853177,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","11/01/2022 19:02","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","12/01/2022 11:02","1000368625","11/01/2022 17:17"
58853177,"BAHANA PRESTASI","532,500.00","FLAT","532,500.00","11/01/2022 19:02","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:02","1000368625","11/01/2022 17:17"
58853181,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","11/01/2022 19:02","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","12/01/2022 11:02","1000368625+1","12/01/2022 09:46"
58853186,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","11/01/2022 19:02","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","12/01/2022 11:02","1000368625+2","12/01/2022 09:47"
58853191,"BAHANA PRESTASI","276,400.00","FLAT","276,400.00","11/01/2022 19:02","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:03","1000368703","11/01/2022 17:18"
58853192,"BAHANA PRESTASI","688,000.00","FLAT","688,000.00","11/01/2022 19:02","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:03","1000368640","11/01/2022 17:18"
58853216,"BAHANA PRESTASI","66,400.00","FLAT","66,400.00","11/01/2022 19:02","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:03","1000368652","11/01/2022 17:19"
58853229,"BAHANA PRESTASI","203,000.00","FLAT","203,000.00","11/01/2022 19:02","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:03","1000368656","11/01/2022 17:20"
