"TMS ID","Shipment Reference Number","Carrier Name","Charge Code Group","Charge Rate","Rate Basis","Rate","Closed Date","AP Vendor Code","Load Group","Order Groups","Shipper Load Number","First Pick Due Date","First Pick Name","Last Drop City","Last Drop Name","Load Status","Mode","Number of Stops","Pieces","Rate Change Carrier Comment","Rate Change Request Date","Trailer Description","Weight (kg)","Charge Description","Charge Code Category","Carrier Reference","Location Name","Payable Currency","Rate Change Approval Date"
58390386,"1000354794","BAHANA PRESTASI","OTHER CHARGES","98,400.00","FLAT","98,400.00","16/11/2021 10:47","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58390386","15/11/2021 12:00","NLSBUDURAN","SUMBER SARI","NLSSUMBER SARI(IDM_JEMBER)","Completed","TL",2,18," ","15/11/2021 15:51","CDE_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","16/11/2021 15:45"
58390387,"1000354798","BAHANA PRESTASI","OTHER CHARGES","127,000.00","FLAT","127,000.00","16/11/2021 10:47","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58390387","15/11/2021 12:00","NLSBUDURAN","SUMOBITO","NLSSUMOBITO(IDM_JOMBANG)","Completed","TL",2,18," ","15/11/2021 15:54","CDE_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","16/11/2021 15:45"
58390389,"1000354810","BAHANA PRESTASI","OTHER CHARGES","78,500.00","FLAT","78,500.00","16/11/2021 10:47","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58390389","15/11/2021 12:00","NLSBUDURAN","KEDUNGKANDANG","NLSKEDUNGKANDANG(IDM_MALANG)","Completed","TL",2,18," ","15/11/2021 15:59","CDE_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","16/11/2021 15:45"
58390392,"1000354813","BAHANA PRESTASI","OTHER CHARGES","168,000.00","FLAT","168,000.00","16/11/2021 10:47","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58390392","15/11/2021 12:00","NLSBUDURAN","DUDUK SAMPEYAN","NLSDUDUK SAMPEYAN(IDM_GRESIK)","Completed","TL",2,18," ","15/11/2021 16:00","CDE_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","16/11/2021 15:45"
58390396,"1000354823","BAHANA PRESTASI","OTHER CHARGES","205,000.00","FLAT","205,000.00","16/11/2021 10:47","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58390396","15/11/2021 12:00","NLSBUDURAN","GEDANGAN","NLSGEDANGAN(IDM_SURABAYA)","Completed","TL",2,18," ","15/11/2021 16:03","CDE_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","16/11/2021 15:45"
58390420,"1000354793","BAHANA PRESTASI","OTHER CHARGES","34,500.00","FLAT","34,500.00","16/11/2021 10:47","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58390420","15/11/2021 12:00","NLSBUDURAN","TENGGILIS MEJOYO","NLSTENGGILIS MEJOYO(IDG_SURABAYA)","Completed","TL",2,18," ","15/11/2021 16:02","CDE_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","16/11/2021 15:45"
58391592,"S21111500051","BAHANA PRESTASI","OTHER CHARGES","490,000.00","FLAT","490,000.00","17/11/2021 16:49","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58391592","15/11/2021 07:00","TIVPANDAAN","BEJI","TIVBEJI PASURUAN","Completed","TL",2,980," ","15/11/2021 19:02","TRONTON_WB","980.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","18/11/2021 09:02"
58391695,"S21111500052","BAHANA PRESTASI","OTHER CHARGES","490,000.00","FLAT","490,000.00","17/11/2021 16:22","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58391695","15/11/2021 07:00","TIVPANDAAN","DUDUK SAMPEYAN","TIVDUDUK SAMPEYAN","Completed","TL",2,980," ","18/11/2021 11:34","TRONTON_WB","980.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","18/11/2021 14:37"
58391863,"40992026","BAHANA PRESTASI","OTHER CHARGES","0.00","FLAT","0.00","06/12/2021 16:36","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","58391863","16/11/2021 07:00","INSKEJAYAN(1P)","BANJARNEGARA","INSBANJARNEGARA","Completed","TL",2,1600," ","15/11/2021 18:49","TRONTON_WB","20,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","06/12/2021 18:17"
58391863,"40992026","BAHANA PRESTASI","OTHER CHARGES","100,000.00","FLAT","100,000.00","06/12/2021 16:36","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","58391863","16/11/2021 07:00","INSKEJAYAN(1P)","BANJARNEGARA","INSBANJARNEGARA","Completed","TL",2,1600," ","15/11/2021 18:49","TRONTON_WB","20,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","06/12/2021 18:17"
