Reference ;Name;Status;Address 1;Address 2;Address 3;City;State;Postal Code;Country;Time Zone;Parent Customer;Default Freight Terms;Freight Billable Party;Supports Billable Rating?;Supports Manual Billable Rate?;Billable Methods;Default Billable Method;Default Trans. Currency;Bill Canadian Taxes?;Bill Value Added Taxes?;Supports Billable Invoicing?;Requires POD?;Shipment Consolidation;Geography Consolidation
3000021303;ARINDO GARMENTAMA;ENABLED;KAWASAN INDUSTRI CANDI BLOK 0-10, PURWOYOSO;NGALIYAN SEMARANG;;SEMARANG;JT;;ID;Asia/Jakarta;3000021303;;3000021303;YES;NO;AGT_SBYTRI,AGT_SMG(T);;IDR;NO;No;YES;YES;Allow;Both
3000018645;ARYASENA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018645;;;NO;;;;;;;NO;;;
3000020645;ASHERINDO DUTA PRATAMA;ENABLED;JL BARUK UTARA XVII NO 23 RT 06 RW 06;KEDUNG BARUK RUNGKUT;;SURABAYA;JI;60298;ID;Asia/Jakarta;3000020645;;3000020645;YES;YES;ADP_SBYTRI;;IDR;NO;No;YES;YES;Allow;Both
3000000615;ATLANTIC OCEAN PAINT;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000000615;;3000000615;YES;NO;AOP_SBYTRI,EXIM_AOP_S;;IDR;NO;No;YES;YES;Allow;Both
3000016841;BANUA AGUNG ANITAMA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000016841;;3000016841;YES;NO;BAAD,BAA;;IDR;NO;No;YES;YES;Allow;Both
3000019397;BINTANG SIDORAYA;ENABLED;JL. RAWA BALI I NO.2, RW.3, RW. TERATE;CAKUNG, JAKARTA TIMUR;JAKARTA TIMUR;JAKARTA TIMUR;JK;13920;ID;Asia/Jakarta;3000019397;;3000019397;YES;NO;BSR(TO);;IDR;NO;No;YES;YES;Allow;Both
3000008924;BRIDGESTONE TIRE INDONESIA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000008924;;;NO;;;;;;;NO;;;
3000013859;BTL SANKYO GLOBAL CO.,LTD;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000013859;;3000013859;YES;NO;BTL(T);;IDR;NO;No;YES;NO;Do Not Allow;None
3000018773;BUDIJAYA MAKMURSENTOSA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018773;;3000018773;YES;NO;EXIM_BMS(T;;IDR;NO;No;YES;YES;Allow;Both
CMLKEBOMAS;CMLKEBOMAS;ENABLED;CMLKEBOMAS;KEBOMAS;GRESIK;KEBOMAS;JI;61123;ID;Asia/Jakarta;CMLKEBOMAS;;;NO;;;;;;;NO;;;
