Reference *;Name *;Status *
3000017014;JFE SHOJI ELECTRONICS CORPORATION;ENABLED
3000018646;KANAK TRANSPORT INDONESIA;ENABLED
3000018398;KARAS INDUSTRI PAPUA;ENABLED
3000003084;KIA SERPIH MAS;ENABLED
3000017804;KINAR PROSPEK TEKNOLOGI;ENABLED
3000017669;KINO FOOD INDONESIA;ENABLED
3000017245;KOYORAD JAYA INDONESIA;ENABLED
3000017110;KREASI INDAH SELARAS;ENABLED
3000020687;LANGGENG AMANAH EXPRESS;ENABLED
8000000501;LAUTAN OTSUKA CHEMICAL;ENABLED
3000018566;LINTAS TIRTA TRANS;ENABLED
3000019392;LIVIA MANDIRI SEJATI;ENABLED
3000015651;LONGHI GROUP INTERNATIONAL;ENABLED
3000015170;MACNELS EXPRESS PRATAMA;ENABLED
3000018833;MADISON 88 LTD.;ENABLED
3000019396;MAGO PASIFIC ABADI;ENABLED
MALDAYEUHKOLOT;MALDAYEUHKOLOT;ENABLED
MALNGORO;MALNGORO;ENABLED
3000018662;MANDIRI PRATAMA KONSOLIDATOR;ENABLED
3000017469;MAQPRO BIOTECH INDONESIA;ENABLED
3000012984;MATRIKSTAMA ANDALAN MITRA;ENABLED
3000018703;MAXIMA EXPRESS PRATAMA;ENABLED
3000012975;MEDAN SUGAR INDUSTRY;ENABLED
3000003696;MEROKE TETAP JAYA;ENABLED
3000017308;METRO PEARL INDONESIA;ENABLED
3000019418;MITRA SETIA ABADI;ENABLED
3000003865;MULTI ANUGERAH LESTARI TEXINDO;ENABLED
3000018940;MULTI TERMINAL INDONESIA;ENABLED
3000019419;NHF AUTO SUPPLIES INDONESIA;ENABLED
3000008806;NIPPON INDOSARI CORPINDO, TBK;ENABLED
3000019058;OKAYA;ENABLED
3000014411;OLAK KEMANG;ENABLED
3000004138;OMYA INDONESIA;ENABLED
3000019892;OZORA MANUNGGAL FREIGHTINDO;ENABLED
3000004176;PABRIK KERTAS NOREE INDONESIA;ENABLED
3000019367;PADMATIRTA WISESA;ENABLED
3000004248;PANJI MAS TEXTILE;ENABLED
3000017569;PASARAYA INTERNATIONAL HEDONISARANA;ENABLED
3000016893;PASIFIC HARVEST;ENABLED
3000004297;PELANGI ELASINDO;ENABLED
3000020980;PEMUDA PRIMA USAHA;ENABLED
3000019328;PESONA MULTI TRANS;ENABLED
3000004421;PISMA PUTRA TEXTILE;ENABLED
3000021308;PLANTEX SEMBADA INTERNATIONAL ,PT;ENABLED
3000016115;PLANTSAFE FERTILIZER INDONESIA;ENABLED
3000018549;PRADANA KIRANA;ENABLED
3000007612;PRIMA MAS MAKMUR;ENABLED
3000021244;PRIMADANI WIBISONO;ENABLED
3000016669;PT ABC KOGEN DAIRY;ENABLED
3000016547;PT ACE LIVING CONCEPT;ENABLED
3000019596;PT ADYA MANDALA PERSADA;ENABLED
3000000215;PT AJINOMOTO INDONESIA;ENABLED
3000000217;PT AJINOMOTO SALES INDONESIA;ENABLED
3000000323;PT ANCOL TERANG METAL PRINTING;ENABLED
3000008928;PT ANUGERAH MORTAR ABADI;ENABLED
3000019640;PT AZELIS INDONESIA DISTRIBUSI;ENABLED
3000000709;PT BANK CENTRAL ASIA TBK;ENABLED
3000020454;PT BANYU MILI MITRATAMA;ENABLED
3000008794;PT BATARA ELOK SEMESTA TERPADU;ENABLED
3000000758;PT BEHN MEYER CHEMICALS;ENABLED
3000018197;PT BINA SINAR AMITY;ENABLED
3000001084;PT CAMPINA ICE CREAM INDUSTRY TBK.;ENABLED
3000012147;PT CATALITE INDONESIA;ENABLED
3000014348;PT CATUR GLOBAL LOGISTIK;ENABLED
3000021688;PT CEMARA BINTANG EXPRESS;ENABLED
3000001143;PT CHANDRA ASRI PETROCHEMICAL TBK;ENABLED
3000020508;PT CHENG HUA INDONESIA;ENABLED
8000000019;PT CIPTA MAPAN LOGISTIK;ENABLED
3000014688;PT CIPTA MORTAR UTAMA;ENABLED
3000017698;PT DAYASA ARIA PRIMA;ENABLED
3000013943;PT DSM NUTRITIONAL PRODUCT MANUFACTURING;ENABLED
3000013725;PT DWI SELO GIRIMAS;ENABLED
3000007227;PT ESSAR INDONESIA;ENABLED
3000021112;PT FAJAR INSAN NUSANTARA;ENABLED
3000016873;PT FAJAR MITRA INDAH;ENABLED
3000001989;PT GLOBAL INTERINTI INDONESIA;ENABLED
3000019751;PT GOLDEN STEP INDONESIA;ENABLED
3000002046;PT GRAND MULTI CHEMICALS;ENABLED
3000015347;PT HANKYU HANSHIN LOGISTICS INDONESIA;ENABLED
3000007314;PT HEXTAR FERTILIZER INDONESIA;ENABLED
