1700,AMA(TRIP_ONCALL),DEFAULT,ALL,"AMAGUNUNG PUTRI","AMACIKARANG TIMUR"
1721,AMA(TRIP_ONCALL),DEFAULT,ALL,"AMAGUNUNG PUTRI","AMAKEDUNG WARINGIN"
1745,AMA(TRIP_ONCALL),DEFAULT,ALL,AMAKLAPANUNGGAL,AMAJAYANTI
1752,AMA(TRIP_ONCALL),DEFAULT,ALL,"AMAGUNUNG PUTRI",AMAJAYANTI
1753,AMA(TRIP_ONCALL),DEFAULT,ALL,"AMAGUNUNG PUTRI",AMAJAYANTI
1755,AMA(TRIP_ONCALL),DEFAULT,ALL,AMAKLAPANUNGGAL,AMAJAYANTI
1780,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,"AMACIKARANG TIMUR"
1786,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,"AMAKEDUNG WARINGIN"
1789,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMACICAU
1809,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,"AMAMARON PROBOLINGGO"
1811,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMANGORO
1812,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMASEDATI
1824,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMADRIYOREJO
1825,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,"AMACIKARANG PUSAT"
1830,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,"AMAMANGGA BESAR"
1834,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMAPATRANG
1855,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMAWIYUNG
1857,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMALOWOKWARU
1874,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMASUKODONO
1875,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMAKEDUNGWARU
1877,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMASUMBERSARI
1892,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMATIGARAKSA
1922,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMANGAWI
1927,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMAJAYANTI
1935,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMASUKABAKTI
1952,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMAMAOSPATI
1953,AMA_SBY(TR),DEFAULT,ALL,AMASIDOARJO,AMAJOMBANG
1995,AMN(KG),DEFAULT,ALL,"AMNCIKARANG BARAT","AMNCILAMAYA WETAN"
2018,AMN(KG),DEFAULT,ALL,"AMNCIKARANG BARAT","AMNCILAMAYA WETAN"
2231,ANA(RENTAL),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANYWHERE
2232,ANA(RENTAL),DEFAULT,ALL,"ANAGUNUNG PUTRI(OS)",ANYWHERE
2233,ANA(RENTAL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANYWHERE
2234,ANA(RENTAL),DEFAULT,ALL,ANAKLAPANUNGGAL,ANYWHERE
2235,ANA(RENTAL),DEFAULT,ALL,ANAKLAPANUNGGAL(1P),ANYWHERE
2236,ANA(RENTAL),DEFAULT,ALL,ANASIDOARJO,ANYWHERE
2237,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAPARUNG PANJANG"
2238,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACISAUK
2239,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACIKARANG UTARA"
2240,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACILEUNGSI
2241,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIPUTAT
2242,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATAPOS
2243,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASERPONG
2244,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATAMBUN SELATAN"
2245,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIPAYUNG
2246,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACIKARANG BARAT"
2247,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACURUG
2248,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASEPATAN
